"Original names"	"Glucose"	"Inulin"	"Sucrose"	"Raffinose"	"Melibiose"	"Galactose"	"Lactose"	"Trehalose"	"Maltose"	"Melezitose"	"Methyl-D-glucoside"	"Soluble Starch"	"Cellobiose"	"Salicin"	"L-Sorbose"	"L-Rhamnose"	"D-Xylose"	"L-Arabinose"	"D-Arabinose"	"D-Ribose"	"Methanol"	"Ethanol"	"Glycerol"	"Erythritol"	"Ribitol"	"Galactitol"	"D-Mannitol"	"D-Glucitol"	"myo-Inositol"	"DL-Lactate"	"Succinate"	"Citrate"	"D-Gluconate"	"D-Glucosamine"	"N-Acetyl-D-glucosamine"	"Hexadecane"	"Nitrate"	"Nitrite"	"Vitamin-free"	"2-Keto-D-gluconate"	"5-Keto-D-gluconate"	"Saccharate"	"Xylitol"	"L-Arabinitol"	"Arbutin"	"Propane 1,2 diol"	"Butane 2,3 diol"	"Cadaverine"	"Creatinine"	"L-Lysine"	"Ethylamine"	"50% Glucose"	"10% NaCl/5% glucose"	"Starch formation"	"Urease"	"Gelatin liquefaction"	"0.01% Cycloheximide"	"0.1% Cycloheximide"	"Growth at 19 ℃"	"Growth at 25℃"	"Growth at 30℃"	"Growth at 35℃"	"Growth at 37℃"	"Growth at 40℃"	"Growth at 45℃"	"CoQ (Main component)"	"Mol % G+C (Ave.)"	"DBB"	"OG1179_aa_aligned.fasta"	"OG1179_s1_aa_aligned.fasta"	"OG1179_s1_R_aa_aligned.fasta"	"OG1179_s2_aa_aligned.fasta"
"Metschnikowia_aberdeeniae"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_arizonensis"	1	"0"	"v"	"0"	"0"	"v"	"0"	"v"	"1"	"1"	"0"	"0"	"1"	"1"	"v"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"0"	"0"	"0"	"0"	"0"	"v"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"n"	"0"	"n"	"n"	"n"	"n"	"v"	"n"	"0"	"1"	"0"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_bicuspidata"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"v"	"0"	"0"	"1"	"v"	"1"	"0"	"v"	"0"	"0"	"0"	"0"	"v"	"v"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"v"	"0"	"1"	"v"	"1"	"0"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"v"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"v"	"n"	"0"	"0"	"0"	"9"	"48"	"0"	1	1	1	1
"Metschnikowia_borealis"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"v"	"1"	"v"	"0"	"1"	"1"	"0"	"0"	"0"	"v"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"n"	"n"	"n"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_cerradonensis"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_continentalis"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"v"	"0"	"1"	"1"	"0"	"0"	"0"	"v"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_dekortum"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"v"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"0"	"1"	"1"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_hamakuensis"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_hawaiiensis"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"9"	"46.7"	"0"	1	1	1	1
"Metschnikowia_hibisci"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"v"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_kamakouana"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"0"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_lockheadii"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"v"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"v"	"v"	"0"	"v"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"v"	"n"	"n"	"n"	"n"	"1"	"n"	"v"	"1"	"v"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_mauinuiana"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_santaceciliae"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"1"	"1"	"1"	"n"	"0"	"n"	"1"	"0"	"0"	"1"	"1"	"n"	"1"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Metschnikowia_similis"	1	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"v"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"v"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"n"	"n"	"1"	"n"	"n"	"n"	"n"	"1"	"n"	"0"	"1"	"1"	"n"	"0"	"n"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"n"	"n"	"0"	1	1	1	1
"Komagataella_pastoris"	1	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"v"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"v"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"v"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"8"	"41.3"	"0"	NA	NA	NA	NA
"yHMPu5000034939_Komagataella_pseudopastoris"	1	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"v"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"n"	"0"	"n"	"1"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"n"	"n"	"n"	"1"	"1"	"1"	"n"	"n"	"n"	"n"	"8"	"n"	"0"	NA	NA	NA	NA
"yHMPu5000035671_Phaffomyces_antillensis"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"v"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"v"	"n"	"n"	"7"	"33.6"	"0"	NA	NA	NA	NA
"yHMPu5000035670_Phaffomyces_opuntiae"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"7"	"33.200000000000003"	"0"	NA	NA	NA	NA
"yHMPu5000035672_Phaffomyces_thermotolerans"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"v"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"v"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"n"	"32.9"	"0"	NA	NA	NA	NA
"yHMPu5000026197_Brettanomyces_custersianus"	1	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"n"	"n"	"0"	"n"	"0"	"0"	"n"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"9"	"39.1"	"0"	1	1	1	1
"yHMPu5000035674_Kregervanrija_delftensis"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"7"	"33.200000000000003"	"0"	NA	NA	NA	NA
"yHMPu5000035675_Kregervanrija_fluxuum"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"v"	"0"	"v"	"0"	"1"	"1"	"0"	"v"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"n"	"n"	"0"	"0"	"0"	"7"	"33"	"0"	NA	NA	NA	NA
"yHMPu5000034629_Pichia_exigua"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"n"	"1"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"7"	"32.5"	"0"	NA	NA	NA	NA
"yHMPu5000034627_Pichia_heedii"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"1"	"v"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"7"	"32.5"	"0"	NA	NA	NA	NA
"yHMPu5000034625_Pichia_kudriavzevii"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"n"	"1"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"v"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"1"	"n"	"7"	"40"	"0"	NA	NA	NA	NA
"Pichia_membranifaciens"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"0"	"v"	"0"	"0"	"0"	"0"	"1"	"v"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"v"	"v"	"0"	"v"	"1"	"0"	"0"	"n"	"v"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"v"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"7"	"42.7"	"0"	NA	NA	NA	NA
"yHMPu5000034624_Pichia_nakasei"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"v"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"v"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"33.1"	"0"	NA	NA	NA	NA
"yHMPu5000034623_Pichia_norvegensis"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"7"	"37.5"	"0"	NA	NA	NA	NA
"yHMPu5000034622_Pichia_occidentalis"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"n"	"1"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"1"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"7"	"41"	"0"	NA	NA	NA	NA
"yHMPu5000035301_Pichia_terricola"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"v"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"v"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"v"	"0"	"0"	"7"	"38.1"	"0"	NA	NA	NA	NA
"yHMPu5000035659_Saturnispora_dispora"	1	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"v"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"7"	"37.799999999999997"	"0"	NA	NA	NA	NA
"yHMPu5000034610_Saturnispora_hagleri"	1	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"1"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	NA	NA	NA	NA
"yHMPu5000034611_Saturnispora_mendoncae"	1	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"v"	"0"	"v"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	NA	NA	NA	NA
"yHMPu5000034612_Saturnispora_saitoi"	1	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"v"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"1"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"7"	"33.299999999999997"	"0"	NA	NA	NA	NA
"yHMPu5000034615_Saturnispora_zaruensis"	1	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"7"	"39.5"	"0"	1	1	1	NA
"Eremothecium_coryli"	1	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"v"	"v"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"n"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"1"	"n"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"43957"	"43.3"	"0"	NA	NA	NA	NA
"Eremothecium_cymbalariae"	1	"0"	"1"	"1"	"v"	"v"	"0"	"1"	"1"	"v"	"0"	"v"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"0"	"n"	"n"	"1"	"1"	"1"	"1"	"v"	"n"	"n"	"7"	"n"	"0"	NA	NA	NA	NA
"Eremothecium_gossypii"	1	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"v"	"v"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"1"	"0"	"0"	"0"	"0"	"v"	"0"	"0"	"1"	"1"	"v"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"v"	"n"	"n"	"1"	"1"	"1"	"1"	"1"	"n"	"n"	"6"	"n"	"0"	NA	NA	NA	NA
"Eremothecium_sinecaudum"	1	"0"	"1"	"0"	"0"	"0"	"0"	"v"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"0"	"n"	"0"	"1"	"n"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"9"	"41.8"	"0"	NA	NA	NA	NA
"Kazachstania_africana"	1	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"n"	"0"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"n"	"0"	"0"	"0"	"n"	"0"	"n"	"n"	"0"	"0"	"1"	"1"	"1"	"n"	"v"	"0"	"0"	"6"	"38.5"	"0"	NA	NA	NA	NA
"yHAB160_Kazachstania_kunashirensis"	1	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"n"	"0"	"0"	"n"	"0"	"n"	"n"	"n"	"0"	"0"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	NA	NA	NA	NA
"yHAB132_Kazachstania_martiniae"	1	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"0"	"0"	"0"	"0"	"0"	"0"	"v"	"v"	"0"	"1"	"0"	"0"	"0"	"0"	"n"	"0"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"n"	"0"	"n"	"0"	"0"	"n"	"v"	"0"	"n"	"n"	"0"	"0"	"1"	"1"	"1"	"n"	"0"	"0"	"0"	"n"	"n"	"0"	NA	NA	NA	NA
