"clade"	"species"	"ura1_original"	"ura1_HGT"	"crabtree positive"	"WGD"
"CUG-Ser1"	"yHMPu5000035662_Meyerozyma_caribbica"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000035665_Middelhovenomyces_tepae"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035667_Kurtzmaniella_cleridarum"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035670_Phaffomyces_opuntiae"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035671_Phaffomyces_antillensis"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035672_Phaffomyces_thermotolerans"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035673_Candida_orba"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000035674_Kregervanrija_delftensis"	1	0	"0"	"No"
"Pichiaceae"	"yHMPu5000035675_Kregervanrija_fluxuum"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035677_Kodamaea_ohmeri"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035679_Candida_rhagii"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035681_Candida_gotoi"	1	0	"0"	"No"
"Saccharomycodaceae"	"yHMPu5000035684_Kloeckera_hatyaiensis"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035686_Cyberlindnera_saturnus"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035687_Cyberlindnera_suaveolens"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035688_Cyberlindnera_xylosilytica"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035689_Candida_mycetangii"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035690_Candida_vartiovaarae"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000035691_Candida_salmanticensis"	1	0	"0"	"No"
"Saccharomycodaceae"	"yHMPu5000035695_Hanseniaspora_pseudoguilliermondii"	1	0	"0"	"No"
"Saccharomycodaceae"	"yHMPu5000035696_Hanseniaspora_singularis"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035699_Cyberlindnera_maclurae"	1	0	"0"	"No"
"Phaffomycetaceae"	"yHMPu5000035703_Cyberlindnera_americana"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000035707_Candida_heveicola"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000041678_Debaryomyces_prosopidis"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000041693_Debaryomyces_nepalensis"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000041713_Debaryomyces_maramus"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000041743_Candida_hawaiiana"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000041818_Magnusiomyces_tetrasperma"	1	0	"0"	"No"
"Dipodascaceae/Trichomonascaceae"	"yHMPu5000041822_Dipodascus_geniculatus"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000041824_Debaryomyces_subglobosus"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000041829_Debaryomyces_fabryi"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000041833_Candida_tammaniensis"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000041840_Candida_wancherniae"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000041855_Candida_ascalaphidarum"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000041862_Candida_golubevii"	1	0	"0"	"No"
"CUG-Ser1"	"yHMPu5000041863_Candida_gorgasii"	1	0	"0"	"No"
